finding_id,is_on_topic,reasoning_note
finding-773,0,BÜYÜKÇEKMECE 1. SULH HUKUK MAHKEMESİ — Turkish court notice
finding-776,0,İSKENDERUN 2. SULH HUKUK MAHKEMESİ — Turkish court notice
finding-778,0,HATAY 11. ASLİYE CEZA MAHKEMESİ — Turkish court notice
finding-786,1,Trump ve Hamaney ortak noktaları — direct Trump-Khamenei war framing Turkish
finding-788,0,SONAR anket AK Parti CHP — Turkish poll
finding-793,0,Trabzonspor Ernest Muçi Beşiktaş — Turkish soccer transfer
finding-818,0,NNPP 2027 nomination form Nigeria — Nigerian elections
finding-819,0,Tinubu Kenya Africa Forward Summit Nairobi — Africa Forward summit
finding-820,0,Fubara political camp rattled APC — Nigerian state politics
finding-821,0,Suspected gunmen kill UNIBEN student — Nigerian crime
finding-824,0,Nigerian newspapers review Jonathan 2027 — Nigerian politics
finding-829,0,Cartoon Oya come renewed punch — Nigerian cartoon
finding-831,0,Reforming family Egypt custody rules — Egyptian family law
finding-832,0,Brote hantavirus crucero MV Hondius (Clarin Spanish) — hantavirus
finding-836,0,Dólar tarjeta cotiza 11 mayo Argentina — Argentinian dollar quote
finding-839,0,Dólar MEP cotiza 11 mayo Argentina — Argentinian dollar quote
finding-842,0,Lucro BTG salta 42% — Brazilian bank earnings
finding-844,0,Arraia-xingu tambaqui espécies ameaçadas — Brazilian fish endangered
finding-847,0,Incêndio fábrica velas Mauá SP — São Paulo factory fire
finding-849,0,Globo Big Brother Brasil 2030 — Brazilian TV contract
finding-855,0,Soraya Ravenle bronca espectadora celular — Brazilian theatre celebrity
finding-859,0,ANS coparticipação planos saúde — Brazilian health insurance regulation
finding-870,0,Ingressos Irã violência extracampo Copa do Mundo — World Cup off-pitch news listing Iran among issues
finding-871,0,40% brasileiros vítimas crimes Datafolha — Brazilian crime poll
finding-872,0,Aumento abusivo preços reforma tributária — Brazilian tax reform
finding-894,0,Corinthians 3 a 2 São Paulo Itaquera — Brazilian soccer
finding-896,0,Diabo Veste Prada 2 bilheterias — movie box office
finding-899,0,Martin Short hija morte pesadelo família — celebrity
finding-903,0,INSS força-tarefa salário-maternidade — Brazilian social security
finding-913,0,1926 Belo Horizonte presidente eleito — Brazilian historical anniversary
finding-916,0,Anna Jarvis inventou Dia das Mães — Mother's Day history
finding-921,0,Ação PM USP greve críticas — São Paulo university strike
finding-923,0,Rússia e Ucrânia trocam acusações cessar-fogo Trump — Russia-Ukraine ceasefire
finding-924,0,Fátima Bernardes filha Beatriz videocast — Brazilian TV personality
finding-932,0,Dilema STF — Brazilian Supreme Court
finding-938,0,Pântanos Iraque ressurgem seca — Iraq wetlands environment
finding-943,0,Sara Duterte destitución diputados filipinos — Philippines politics
finding-949,0,Intervienen 36 vehículos VTC fraudulentos Málaga — Málaga vehicle fraud
finding-953,0,China mayor estabilidad Xi Trump — Trump-Xi summit prep (not Iran-specific)
finding-957,0,Lateral Athletic Iñigo Lekue retira — Spanish soccer
finding-959,0,Sardinas aceite oliva propiedades — food article
finding-963,0,Nerea Miralles fútbol playa — beach soccer
finding-969,0,Christian Nodal cuento Forajido Inti — Mexican music
finding-972,0,Jaime Marichalar Victoria Federica Navalpotro — Spanish royals
finding-975,0,Starmer relanzar gobierno laborista — UK politics
finding-982,0,Proyecto tren norte sin Madrid — Spanish railway
finding-987,0,Thelma y Louise Cannes — film festival
finding-988,0,81% españoles presión casa perfecta — Spain home cleaning
finding-990,0,"Albares EU suspensión Israel — Spain pushes EU on Israel, no Iran-US specifically"
finding-994,0,Confianza inversora deteriorado apagón — Spanish economy
finding-997,0,Real Madrid Mourinho fichajes — Spanish soccer
finding-1006,0,Texas portar armas requisitos — US gun laws Texas
finding-1014,0,Tenerife agresión sexual abogado citas inventadas — Tenerife court
finding-1015,0,Médico marido Maialen prisión — Spanish prison case
finding-1020,0,Podemos Ayuso Sheinbaum Viva México — Spain-Mexico spat
finding-1023,0,De Nixon a Trump viajes presidenciales China — Trump-Xi historical framing
finding-1034,0,UCAV CEOE Ávila pymes españolas chilenas — Spain-Chile business
finding-1035,0,Pronóstico tiempo Nueva York 11 mayo — NYC weather
finding-1036,0,Otra larga noche celebración barcelonista — Barcelona soccer
finding-1041,0,Molina baja cierre Atleti Mundial — Spanish soccer
finding-1043,0,Philippine VP Duterte impeached — Philippines politics
finding-1049,0,81-year-old Fukushima wife killing — Japan crime
finding-1054,0,US soldier remains Morocco Atlantic — Morocco military exercises
finding-1055,0,Evacuation flights Tenerife cruise virus — hantavirus
finding-1063,0,Bodies Indonesian volcano hikers — Indonesia volcano
finding-1070,0,Australia One Nation lower house seat — Australia politics
finding-1077,0,Bijnor police extortion businessman son — India crime
finding-1083,0,"Ukraine to Iran evacuation crises Indian students database — diaspora database, not Iran war substance"
finding-1099,0,Vingroup Điện Biên đầu tư đô thị — Vietnam real estate
finding-1103,0,Nguyễn Thế Long qua đời 48 — Vietnamese artist death
finding-1104,0,Tiềm năng đầu tư căn hộ biển Phú Quốc — Vietnam beach property
finding-1111,0,Đập sông Hồng tác động an toàn thoát lũ — Vietnam infrastructure
finding-1112,0,Quá khứ ngủ với nhiều người tha thứ — Vietnamese personal essay
finding-1114,0,Cổ phiếu Vingroup giảm mạnh — Vietnamese markets
finding-1115,0,Ấn Độ không tăng thuế vàng bạc — India gold/silver tax
finding-1117,0,Người Hàn Quốc sinh con gái — Korea demographics
finding-1118,0,MacOS 26.4 bảo mật — tech update
finding-1119,0,Vận tải cơ Anh thả lính Hantavirus — UK military hantavirus airdrop
finding-1122,0,Vinmec y học bào thai — Vietnam medical training
finding-1130,0,Hai thiếu niên trượt dài húc đuôi ôtô — Vietnam road incident
finding-1144,0,Fowler Manchester City FA Cup final — women's soccer
finding-1145,0,Jay Vine Giro stage two crash — cycling
finding-1147,0,Bledisloe Cup rugby proposal — rugby
finding-1153,0,Somalia election standoff Al-Shabaab — Somalia politics
finding-1164,0,Nutrition variation Senegal — diet article
finding-1165,0,Annette Messager Lion d'or Biennale Venezia — French art prize
finding-1167,0,Ukraine enfants déportés Russie identification — Russia-Ukraine deported children
finding-1174,0,Africa Forward Nairobi Kenya France Macron Ruto — Africa Forward summit
finding-1187,0,Poland highest growth ultra-wealthy — Polish economy
finding-1190,0,Keir Starmer Brexit red lines EU — UK Brexit
